,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,506767.0,0.0,506767
1,100,0.007044483994832262,461923.0,12.611829289002344,224389
2,250,0.017895990000397433,417938.0,31.781237420000252,148264
3,500,0.03567717999976594,368958.0,63.49948126600066,113051
4,750,0.05342879799718503,345478.0,95.13810251299583,96706
5,1000,0.07124261299759382,331663.0,126.65212470400002,88346
6,1250,0.08886412799620302,318836.0,157.8947082779996,84443
7,1500,0.10643040599825326,306246.0,188.48978092199832,82461
8,1750,0.12404061699635349,291773.0,218.5739373460019,80871
9,2000,0.14160038099362282,282908.0,248.78794947599818,80813
10,2500,0.17634706599346828,267963.0,308.97182325200265,80813
11,5000,0.34809294099977706,225440.0,617.7168343469966,79185
12,7500,0.5202541959952214,209246.0,924.5812655629998,79185
13,10000,0.6921581749993493,196787.0,1230.1801932989983,79147
14,12500,0.8647782489933888,183269.0,1538.1978218149961,78665
15,15000,1.0370030749982106,174671.0,1846.1582509299988,78664
16,17500,1.2090493649957352,169744.0,2152.678293375,78159
17,20000,1.3809937089972664,165445.0,2461.5211936549968,78150
