,Num_steps,Time_non,Distance_non,Time_loc,Distance_loc
0,1,0.0,558382155.0,0.0,558382155
1,100,0.007656272005988285,527920476.0,32.96527741399768,324491766
2,250,0.01953391700226348,495527894.0,82.82558122600312,201382489
3,500,0.038941627004533075,458128588.0,165.79082817700692,150961746
4,750,0.05832913600897882,436536293.0,248.87689132800733,128297678
5,1000,0.07762315300351474,413423269.0,331.89501450100215,117170175
6,1250,0.09680378600023687,396475276.0,414.70090252699447,106606881
7,1500,0.1159955580078531,378998918.0,497.2877211570012,102563496
8,1750,0.13517375400988385,370301233.0,580.0865179630055,97530500
9,2000,0.15430848000687547,362106417.0,662.6097951970005,94993451
10,2500,0.1920195800048532,340649097.0,826.5899549820024,89135528
11,5000,0.37884381201001815,292263401.0,1607.5275951380027,89105687
12,7500,0.5652900700079044,261729721.0,2398.1462583240063,89105687
13,10000,0.7570209310069913,241710633.0,3200.8763282180007,89105687
14,12500,0.9426441280083964,227679333.0,4008.2333776529995,89105687
15,15000,1.128025747006177,217495357.0,4817.997866685997,89105687
16,17500,1.3135495230089873,209070637.0,5628.017691236004,89105687
17,20000,1.4990666410012636,199343433.0,6438.699801730996,89105687
