KLIMOV;Evgeniy;RUS;88.4;127.5;73.5;17.5;17;16.5;17;17;51;9;0;-0.42;5.5;130;1;1;18 NOV 2018;Wisla (POL)
KLIMOV;Evgeniy;RUS;88.7;131.5;80.7;15.5;17;16;16.5;16.5;49;10;0;-0.28;3.7;133.4;1;2;18 NOV 2018;Wisla (POL)
LEYHE;Stephan;GER;88.1;124.5;68.1;17;17;16.5;17;17;51;8;3.6;-0.05;0.7;123.4;6;1;18 NOV 2018;Wisla (POL)
LEYHE;Stephan;GER;88.8;130.5;78.9;18;18.5;18.5;18.5;18;55;10;0;0.06;-0.6;133.3;2;2;18 NOV 2018;Wisla (POL)
KOBAYASHI;Ryoyu;JPN;88.1;137.5;91.5;11.5;15;15;11.5;11;38;9;0;0.46;-5;124.5;3;1;18 NOV 2018;Wisla (POL)
KOBAYASHI;Ryoyu;JPN;88.1;127;72.6;17;18;17.5;16.5;17;51.5;9;3.6;-0.26;3.4;131.1;6;2;18 NOV 2018;Wisla (POL)
STOCH;Kamil;POL;87.4;126.5;71.7;17.5;18;17;17.5;18;53;8;3.6;0.03;-0.3;128;2;1;18 NOV 2018;Wisla (POL)
STOCH;Kamil;POL;87.8;127;72.6;17;17.5;16.5;16.5;17;50.5;10;0;-0.32;4.2;127.3;11;2;18 NOV 2018;Wisla (POL)
ZAJC;Timi;SLO;87.9;126;70.8;17.5;18;17.5;18;17.5;53;9;0;-0.02;0.3;124.1;4;1;18 NOV 2018;Wisla (POL)
ZAJC;Timi;SLO;88;127;72.6;17.5;18;17.5;18;17.5;53;10;0;-0.28;3.7;129.3;9;2;18 NOV 2018;Wisla (POL)
ZYLA;Piotr;POL;87.7;124.5;68.1;17.5;17.5;17;17.5;17.5;52.5;8;3.6;0.26;-2.8;121.4;9;1;18 NOV 2018;Wisla (POL)
ZYLA;Piotr;POL;88.1;131;79.8;17;17.5;16.5;16.5;16.5;50;10;0;-0.01;0.1;129.9;7;2;18 NOV 2018;Wisla (POL)
AALTO;Antti;FIN;88.1;123;65.4;18;17.5;17.5;17.5;17.5;52.5;9;0;-0.43;5.6;123.5;5;1;18 NOV 2018;Wisla (POL)
AALTO;Antti;FIN;88.4;127;72.6;18;18;18.5;18;18;54;10;0;-0.07;0.9;127.5;10;2;18 NOV 2018;Wisla (POL)
KUBACKI;Dawid;POL;87.5;124;67.2;17.5;17.5;17.5;17.5;17.5;52.5;8;3.6;0.37;-4;119.3;12;1;18 NOV 2018;Wisla (POL)
KUBACKI;Dawid;POL;88.3;128;74.4;17;17.5;17.5;18;18;53;10;0;-0.3;3.9;131.3;5;2;18 NOV 2018;Wisla (POL)
GEIGER;Karl;GER;87.8;120.5;60.9;17;17;16.5;17;17;51;8;3.6;-0.12;1.6;117.1;18;1;18 NOV 2018;Wisla (POL)
GEIGER;Karl;GER;88.8;129;76.2;17;18;17;16.5;17;51;10;0;-0.4;5.2;132.4;3;2;18 NOV 2018;Wisla (POL)
FORFANG;Johann Andre;NOR;87.6;122.5;64.5;16.5;17.5;17;17;17.5;51.5;8;3.6;0.23;-2.5;117.1;18;1;18 NOV 2018;Wisla (POL)
FORFANG;Johann Andre;NOR;88.5;128;74.4;17.5;18;18;17.5;18;53.5;10;0;-0.33;4.3;132.2;4;2;18 NOV 2018;Wisla (POL)
WELLINGER;Andreas;GER;88.1;123.5;66.3;18;17.5;18;17.5;18;53.5;8;3.6;0.12;-1.3;122.1;7;1;18 NOV 2018;Wisla (POL)
WELLINGER;Andreas;GER;88.7;132;81.6;15;16;15.5;15;16;46.5;10;0;0.13;-1.4;126.7;12;2;18 NOV 2018;Wisla (POL)
POLASEK;Viktor;CZE;87.9;127;72.6;17.5;17;17.5;17.5;17;52;9;0;0.6;-6.5;118.1;16;1;18 NOV 2018;Wisla (POL)
POLASEK;Viktor;CZE;88.4;127;72.6;18.5;18;18.5;18;18;54.5;10;0;-0.2;2.6;129.7;8;2;18 NOV 2018;Wisla (POL)
SIEGEL;David;GER;88;121;61.8;17.5;17.5;17;17;17.5;52;9;0;-0.4;5.2;119;13;1;18 NOV 2018;Wisla (POL)
SIEGEL;David;GER;88.2;124.5;68.1;18;18;18.5;17.5;18.5;54.5;10;0;-0.16;2.1;124.7;14;2;18 NOV 2018;Wisla (POL)
FANNEMEL;Anders;NOR;88.1;123.5;66.3;16;17.5;16.5;16.5;17.5;50.5;8;3.6;0.19;-2.1;118.3;15;1;18 NOV 2018;Wisla (POL)
FANNEMEL;Anders;NOR;88.8;127.5;73.5;16.5;17.5;17;16.5;16.5;50;10;0;-0.09;1.2;124.7;14;2;18 NOV 2018;Wisla (POL)
EISENBICHLER;Markus;GER;87.8;124.5;68.1;17;17;17;17;17;51;8;3.6;0.19;-2.1;120.6;10;1;18 NOV 2018;Wisla (POL)
EISENBICHLER;Markus;GER;88.3;123;65.4;16.5;17.5;17.5;17.5;17.5;52.5;10;0;-0.3;3.9;121.8;17;2;18 NOV 2018;Wisla (POL)
JOHANSSON;Robert;NOR;87.8;122.5;64.5;16.5;17.5;17.5;17.5;17.5;52.5;8;3.6;0.19;-2.1;118.5;14;1;18 NOV 2018;Wisla (POL)
JOHANSSON;Robert;NOR;88.5;125;69;17;17;17;17;17;51;10;0;-0.23;3;123;16;2;18 NOV 2018;Wisla (POL)
PEIER;Killian;SUI;88;122.5;64.5;17.5;17;17;17;17.5;51.5;9;0;-0.42;5.5;121.5;8;1;18 NOV 2018;Wisla (POL)
